,Ohio,Indiana,Iowa,Georgia,Minnesota,Kentucky,Illinois,Texas,Wisconsin,Kansas,North_Carolina,West_Virginia,Missouri,Pennsylvania,Montana,New_York,California,Nebraska,South_Dakota,Colorado,Oklahoma,Maryland,Michigan,Virginia,Utah,Arkansas,Oregon,Louisiana,North_Dakota,Tennessee,Alabama,New_Mexico,Wyoming,Florida,South_Carolina,Arizona
Ohio,0.776114254251765,1.03271812371552,1.90587502564679,-0.86437473747187,1.40962530799152,-0.151578288954839,1.15018970274126,0.296167816918137,-0.238985469144324,0.656625288992782,1.42108564403641,-2.43872692461504,0.911944822640954,0.436033482233436,-0.517830796998316,-1.08376926662213,-0.886823371347648,0.948136174005513,0.586225635770084,0.125281560087874,0.716351014826041,-1.64486467333964,0.391412293686306,-0.328263178837222,0.125434854609691,-0.72065526384526,-1.99063950911975,-2.22523898721398,-0.667628155356762,-0.434151266454676,-0.959643722226483,-2.99469002970484,-0.881791485569831,-1.82698015145674,-0.497126384800594,-0.644376675021829
Indiana,0.776114254251765,1.03271812371552,1.90587502564679,-0.86437473747187,1.40962530799152,-0.151578288954839,1.15018970274126,0.296167816918137,-0.238985469144324,0.656625288992782,1.42108564403641,-2.43872692461504,0.911944822640954,0.436033482233436,-0.517830796998316,-1.08376926662213,-0.886823371347648,0.948136174005513,0.586225635770084,0.125281560087874,0.716351014826041,-1.64486467333964,0.391412293686306,-0.328263178837222,0.125434854609691,-0.72065526384526,-1.99063950911975,-2.22523898721398,-0.667628155356762,-0.434151266454676,-0.959643722226483,-2.99469002970484,-0.881791485569831,-1.82698015145674,-0.497126384800594,-0.644376675021829
Iowa,0.776114254251765,1.03271812371552,1.90587502564679,-0.86437473747187,1.40962530799152,-0.151578288954839,1.15018970274126,0.296167816918137,-0.238985469144324,0.656625288992782,1.42108564403641,-2.43872692461504,0.911944822640954,0.436033482233436,-0.517830796998316,-1.08376926662213,-0.886823371347648,0.948136174005513,0.586225635770084,0.125281560087874,0.716351014826041,-1.64486467333964,0.391412293686306,-0.328263178837222,0.125434854609691,-0.72065526384526,-1.99063950911975,-2.22523898721398,-0.667628155356762,-0.434151266454676,-0.959643722226483,-2.99469002970484,-0.881791485569831,-1.82698015145674,-0.497126384800594,-0.644376675021829
Georgia,0.776114254251765,1.03271812371552,1.90587502564679,-0.86437473747187,1.40962530799152,-0.151578288954839,1.15018970274126,0.296167816918137,-0.238985469144324,0.656625288992782,1.42108564403641,-2.43872692461504,0.911944822640954,0.436033482233436,-0.517830796998316,-1.08376926662213,-0.886823371347648,0.948136174005513,0.586225635770084,0.125281560087874,0.716351014826041,-1.64486467333964,0.391412293686306,-0.328263178837222,0.125434854609691,-0.72065526384526,-1.99063950911975,-2.22523898721398,-0.667628155356762,-0.434151266454676,-0.959643722226483,-2.99469002970484,-0.881791485569831,-1.82698015145674,-0.497126384800594,-0.644376675021829
Minnesota,0.776114254251765,1.03271812371552,1.90587502564679,-0.86437473747187,1.40962530799152,-0.151578288954839,1.15018970274126,0.296167816918137,-0.238985469144324,0.656625288992782,1.42108564403641,-2.43872692461504,0.911944822640954,0.436033482233436,-0.517830796998316,-1.08376926662213,-0.886823371347648,0.948136174005513,0.586225635770084,0.125281560087874,0.716351014826041,-1.64486467333964,0.391412293686306,-0.328263178837222,0.125434854609691,-0.72065526384526,-1.99063950911975,-2.22523898721398,-0.667628155356762,-0.434151266454676,-0.959643722226483,-2.99469002970484,-0.881791485569831,-1.82698015145674,-0.497126384800594,-0.644376675021829
Kentucky,0.776114254251765,1.03271812371552,1.90587502564679,-0.86437473747187,1.40962530799152,-0.151578288954839,1.15018970274126,0.296167816918137,-0.238985469144324,0.656625288992782,1.42108564403641,-2.43872692461504,0.911944822640954,0.436033482233436,-0.517830796998316,-1.08376926662213,-0.886823371347648,0.948136174005513,0.586225635770084,0.125281560087874,0.716351014826041,-1.64486467333964,0.391412293686306,-0.328263178837222,0.125434854609691,-0.72065526384526,-1.99063950911975,-2.22523898721398,-0.667628155356762,-0.434151266454676,-0.959643722226483,-2.99469002970484,-0.881791485569831,-1.82698015145674,-0.497126384800594,-0.644376675021829
Illinois,0.776114254251765,1.03271812371552,1.90587502564679,-0.86437473747187,1.40962530799152,-0.151578288954839,1.15018970274126,0.296167816918137,-0.238985469144324,0.656625288992782,1.42108564403641,-2.43872692461504,0.911944822640954,0.436033482233436,-0.517830796998316,-1.08376926662213,-0.886823371347648,0.948136174005513,0.586225635770084,0.125281560087874,0.716351014826041,-1.64486467333964,0.391412293686306,-0.328263178837222,0.125434854609691,-0.72065526384526,-1.99063950911975,-2.22523898721398,-0.667628155356762,-0.434151266454676,-0.959643722226483,-2.99469002970484,-0.881791485569831,-1.82698015145674,-0.497126384800594,-0.644376675021829
Texas,0.776114254251765,1.03271812371552,1.90587502564679,-0.86437473747187,1.40962530799152,-0.151578288954839,1.15018970274126,0.296167816918137,-0.238985469144324,0.656625288992782,1.42108564403641,-2.43872692461504,0.911944822640954,0.436033482233436,-0.517830796998316,-1.08376926662213,-0.886823371347648,0.948136174005513,0.586225635770084,0.125281560087874,0.716351014826041,-1.64486467333964,0.391412293686306,-0.328263178837222,0.125434854609691,-0.72065526384526,-1.99063950911975,-2.22523898721398,-0.667628155356762,-0.434151266454676,-0.959643722226483,-2.99469002970484,-0.881791485569831,-1.82698015145674,-0.497126384800594,-0.644376675021829
Wisconsin,0.776114254251765,1.03271812371552,1.90587502564679,-0.86437473747187,1.40962530799152,-0.151578288954839,1.15018970274126,0.296167816918137,-0.238985469144324,0.656625288992782,1.42108564403641,-2.43872692461504,0.911944822640954,0.436033482233436,-0.517830796998316,-1.08376926662213,-0.886823371347648,0.948136174005513,0.586225635770084,0.125281560087874,0.716351014826041,-1.64486467333964,0.391412293686306,-0.328263178837222,0.125434854609691,-0.72065526384526,-1.99063950911975,-2.22523898721398,-0.667628155356762,-0.434151266454676,-0.959643722226483,-2.99469002970484,-0.881791485569831,-1.82698015145674,-0.497126384800594,-0.644376675021829
Kansas,0.776114254251765,1.03271812371552,1.90587502564679,-0.86437473747187,1.40962530799152,-0.151578288954839,1.15018970274126,0.296167816918137,-0.238985469144324,0.656625288992782,1.42108564403641,-2.43872692461504,0.911944822640954,0.436033482233436,-0.517830796998316,-1.08376926662213,-0.886823371347648,0.948136174005513,0.586225635770084,0.125281560087874,0.716351014826041,-1.64486467333964,0.391412293686306,-0.328263178837222,0.125434854609691,-0.72065526384526,-1.99063950911975,-2.22523898721398,-0.667628155356762,-0.434151266454676,-0.959643722226483,-2.99469002970484,-0.881791485569831,-1.82698015145674,-0.497126384800594,-0.644376675021829
