,Ohio,Indiana,Iowa,Georgia,Minnesota,Kentucky,Illinois,Texas,Wisconsin,Kansas,North_Carolina,West_Virginia,Missouri,Pennsylvania,Montana,New_York,California,Nebraska,South_Dakota,Colorado,Oklahoma,Maryland,Michigan,Virginia,Utah,Arkansas,Oregon,Louisiana,North_Dakota,Tennessee,Alabama,New_Mexico,Wyoming,Florida,South_Carolina,Arizona
Ohio,0.564410968134939,0.932210787940879,1.75533661766997,-0.293079450477753,1.27438108423253,-0.171920509423961,1.04761114116366,0.293766982261849,-0.0594678674002436,0.585398332765994,1.4842413028415,-2.05123793725609,0.874934348837392,0.365167941905441,-0.581367596410797,-0.968863538788876,-0.695161926415235,0.88710681271379,0.458074364718029,0.20739632585621,0.75523917094199,-1.38604759509506,0.30787157438015,-0.157503655890518,0.115980481973858,-0.135904753660782,-1.57152176995721,-1.72266471940644,-0.601901968378057,-0.47607495141862,-0.586836394598402,-2.6985357092368,-0.821431432824734,-1.51590164172681,-0.32005105701574,-0.697205856223138
Indiana,0.564410968134939,0.932210787940879,1.75533661766997,-0.293079450477753,1.27438108423253,-0.171920509423961,1.04761114116366,0.293766982261849,-0.0594678674002436,0.585398332765994,1.4842413028415,-2.05123793725609,0.874934348837392,0.365167941905441,-0.581367596410797,-0.968863538788876,-0.695161926415235,0.88710681271379,0.458074364718029,0.20739632585621,0.75523917094199,-1.38604759509506,0.30787157438015,-0.157503655890518,0.115980481973858,-0.135904753660782,-1.57152176995721,-1.72266471940644,-0.601901968378057,-0.47607495141862,-0.586836394598402,-2.6985357092368,-0.821431432824734,-1.51590164172681,-0.32005105701574,-0.697205856223138
Iowa,0.564410968134939,0.932210787940879,1.75533661766997,-0.293079450477753,1.27438108423253,-0.171920509423961,1.04761114116366,0.293766982261849,-0.0594678674002436,0.585398332765994,1.4842413028415,-2.05123793725609,0.874934348837392,0.365167941905441,-0.581367596410797,-0.968863538788876,-0.695161926415235,0.88710681271379,0.458074364718029,0.20739632585621,0.75523917094199,-1.38604759509506,0.30787157438015,-0.157503655890518,0.115980481973858,-0.135904753660782,-1.57152176995721,-1.72266471940644,-0.601901968378057,-0.47607495141862,-0.586836394598402,-2.6985357092368,-0.821431432824734,-1.51590164172681,-0.32005105701574,-0.697205856223138
Georgia,0.564410968134939,0.932210787940879,1.75533661766997,-0.293079450477753,1.27438108423253,-0.171920509423961,1.04761114116366,0.293766982261849,-0.0594678674002436,0.585398332765994,1.4842413028415,-2.05123793725609,0.874934348837392,0.365167941905441,-0.581367596410797,-0.968863538788876,-0.695161926415235,0.88710681271379,0.458074364718029,0.20739632585621,0.75523917094199,-1.38604759509506,0.30787157438015,-0.157503655890518,0.115980481973858,-0.135904753660782,-1.57152176995721,-1.72266471940644,-0.601901968378057,-0.47607495141862,-0.586836394598402,-2.6985357092368,-0.821431432824734,-1.51590164172681,-0.32005105701574,-0.697205856223138
Minnesota,0.564410968134939,0.932210787940879,1.75533661766997,-0.293079450477753,1.27438108423253,-0.171920509423961,1.04761114116366,0.293766982261849,-0.0594678674002436,0.585398332765994,1.4842413028415,-2.05123793725609,0.874934348837392,0.365167941905441,-0.581367596410797,-0.968863538788876,-0.695161926415235,0.88710681271379,0.458074364718029,0.20739632585621,0.75523917094199,-1.38604759509506,0.30787157438015,-0.157503655890518,0.115980481973858,-0.135904753660782,-1.57152176995721,-1.72266471940644,-0.601901968378057,-0.47607495141862,-0.586836394598402,-2.6985357092368,-0.821431432824734,-1.51590164172681,-0.32005105701574,-0.697205856223138
Kentucky,0.564410968134939,0.932210787940879,1.75533661766997,-0.293079450477753,1.27438108423253,-0.171920509423961,1.04761114116366,0.293766982261849,-0.0594678674002436,0.585398332765994,1.4842413028415,-2.05123793725609,0.874934348837392,0.365167941905441,-0.581367596410797,-0.968863538788876,-0.695161926415235,0.88710681271379,0.458074364718029,0.20739632585621,0.75523917094199,-1.38604759509506,0.30787157438015,-0.157503655890518,0.115980481973858,-0.135904753660782,-1.57152176995721,-1.72266471940644,-0.601901968378057,-0.47607495141862,-0.586836394598402,-2.6985357092368,-0.821431432824734,-1.51590164172681,-0.32005105701574,-0.697205856223138
Illinois,0.564410968134939,0.932210787940879,1.75533661766997,-0.293079450477753,1.27438108423253,-0.171920509423961,1.04761114116366,0.293766982261849,-0.0594678674002436,0.585398332765994,1.4842413028415,-2.05123793725609,0.874934348837392,0.365167941905441,-0.581367596410797,-0.968863538788876,-0.695161926415235,0.88710681271379,0.458074364718029,0.20739632585621,0.75523917094199,-1.38604759509506,0.30787157438015,-0.157503655890518,0.115980481973858,-0.135904753660782,-1.57152176995721,-1.72266471940644,-0.601901968378057,-0.47607495141862,-0.586836394598402,-2.6985357092368,-0.821431432824734,-1.51590164172681,-0.32005105701574,-0.697205856223138
Texas,0.564410968134939,0.932210787940879,1.75533661766997,-0.293079450477753,1.27438108423253,-0.171920509423961,1.04761114116366,0.293766982261849,-0.0594678674002436,0.585398332765994,1.4842413028415,-2.05123793725609,0.874934348837392,0.365167941905441,-0.581367596410797,-0.968863538788876,-0.695161926415235,0.88710681271379,0.458074364718029,0.20739632585621,0.75523917094199,-1.38604759509506,0.30787157438015,-0.157503655890518,0.115980481973858,-0.135904753660782,-1.57152176995721,-1.72266471940644,-0.601901968378057,-0.47607495141862,-0.586836394598402,-2.6985357092368,-0.821431432824734,-1.51590164172681,-0.32005105701574,-0.697205856223138
Wisconsin,0.564410968134939,0.932210787940879,1.75533661766997,-0.293079450477753,1.27438108423253,-0.171920509423961,1.04761114116366,0.293766982261849,-0.0594678674002436,0.585398332765994,1.4842413028415,-2.05123793725609,0.874934348837392,0.365167941905441,-0.581367596410797,-0.968863538788876,-0.695161926415235,0.88710681271379,0.458074364718029,0.20739632585621,0.75523917094199,-1.38604759509506,0.30787157438015,-0.157503655890518,0.115980481973858,-0.135904753660782,-1.57152176995721,-1.72266471940644,-0.601901968378057,-0.47607495141862,-0.586836394598402,-2.6985357092368,-0.821431432824734,-1.51590164172681,-0.32005105701574,-0.697205856223138
Kansas,0.564410968134939,0.932210787940879,1.75533661766997,-0.293079450477753,1.27438108423253,-0.171920509423961,1.04761114116366,0.293766982261849,-0.0594678674002436,0.585398332765994,1.4842413028415,-2.05123793725609,0.874934348837392,0.365167941905441,-0.581367596410797,-0.968863538788876,-0.695161926415235,0.88710681271379,0.458074364718029,0.20739632585621,0.75523917094199,-1.38604759509506,0.30787157438015,-0.157503655890518,0.115980481973858,-0.135904753660782,-1.57152176995721,-1.72266471940644,-0.601901968378057,-0.47607495141862,-0.586836394598402,-2.6985357092368,-0.821431432824734,-1.51590164172681,-0.32005105701574,-0.697205856223138
